gameId,game,boxart,naRelDate2,euRelDate2,loosePrice,licensed,wikipediaUrl
222,Eliminator Boat Duel,,1991-11-01,1993-04-29,413,1,/wiki/Eliminator_Boat_Duel
223,Elite,,,1991-01-01,2999,1,/wiki/Elite_(video_game)
224,Excitebike,,1985-10-01,1986-09-01,600,1,/wiki/Excitebike
225,Exodus,,,,0,0,/wiki/Exodus_(video_game)
226,F-117A Stealth Fighter,,1992-12-01,,799,1,/wiki/F-117A_Stealth_Fighter
227,F-15 City War,,,,325,0,/wiki/F-15_City_War
228,F-15 Strike Eagle,,1992-02-01,1993-02-18,453,1,/wiki/F-15_Strike_Eagle_(video_game)
229,Family Feud,,1991-05-01,,695,1,/wiki/Family_Feud#Home_versions
230,Fantasy Zone,,,,1178,0,/wiki/Fantasy_Zone
231,Faria: A World of Mystery and Danger,,1991-06-01,,0,1,/wiki/Faria:_A_World_of_Mystery_and_Danger
232,Faxanadu,,1989-08-01,1990-12-28,375,1,/wiki/Faxanadu
233,Felix the Cat,,1992-10-01,,2999,1,/wiki/Felix_the_Cat_(video_game)
234,Ferrari Grand Prix Challenge,,1992-06-01,,324,1,/wiki/F-1_Hero_MD
235,Fester's Quest,,1989-09-01,1990-09-14,250,1,/wiki/Fester%27s_Quest
236,Final Fantasy,,1990-05-01,,1416,1,/wiki/Final_Fantasy_(video_game)
237,Fire 'n Ice,,1993-03-01,1993-03-18,5528,1,/wiki/Fire_%27n_Ice
238,Firehawk,,,,446,0,/wiki/FireHawk_(video_game)
239,Fisher-Price: Firehouse Rescue,,1992-03-01,,635,1,/wiki/Fisher-Price:_Firehouse_Rescue
240,Fisher-Price: I Can Remember,,1990-03-01,,0,1,/wiki/Fisher-Price:_I_Can_Remember
241,Fisher-Price: Perfect Fit,,1990-03-01,,0,1,/wiki/Fisher-Price:_Perfect_Fit
242,Fist of the North Star,,1989-04-01,,997,1,/wiki/Fist_of_the_North_Star_(1987_video_game)
